"species","SVL_cm","TL_cm","Ventrals","Subcaudals","Head._Length_mm","Head_Width_mm","Body_Width_mm","N_scales_bordering_L_parietals","N_scales_bordering_R_parietals","White_Ventral_Annuli_Bordering_Ventral_Black","Ventral_Annuli_In_BlackBand","X.Dorsal_Annuli_OR_juvenile_dorsal_black_bands","Ventral_Black_Bands","Ventral_Lower_Lower_ScCount","Ventral_Black_Upper_ScCount","Ventral_Orange_Lower_ScCount","Ventral_Orange_Upper_ScCount","Temporal_Pigmentation","Annulus.on.dorsal.black.tail.bands","Upper.temporal.divided"
"mcclungi",3.29212628660779,0.963174317773006,5.32787616878958,3.13549421592915,2.07944154167984,1.84213567655312,1.87666214303452,1.38629436111989,1.38629436111989,1.09861228866811,1.09861228866811,3.8286413964891,4.00733318523247,1.09861228866811,1.38629436111989,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,0.693147180559945
"gemianulis",3.80555076091763,0.78845736036427,5.41610040220442,2.89037175789616,2.43798973000025,2.00552585872967,2.07233300240058,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.43081679884331,3.40119738166216,1.38629436111989,1.79175946922805,1.09861228866811,1.09861228866811,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.72569342723665,0.920282753143692,5.28320372873799,2.99573227355399,2.3869262414278,2.03731661537916,2.10940479282478,1.38629436111989,1.09861228866811,0.693147180559945,1.09861228866811,4.23410650459726,3.2188758248682,1.38629436111989,1.6094379124341,1.38629436111989,1.6094379124341,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.89385903480047,1.06471073699243,5.30826769740121,3.04452243772342,2.55100645149252,2.12704052047911,2.31022252045405,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.35670882668959,3.29583686600433,1.09861228866811,1.38629436111989,1.6094379124341,1.94591014905531,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.85014760171006,1.00320210386345,5.37989735354046,2.94443897916644,2.35612585992208,2.05540496385159,2.15098670880414,1.09861228866811,1.09861228866811,0.693147180559945,1.38629436111989,4.38202663467388,3.36729582998647,1.09861228866811,1.38629436111989,1.38629436111989,1.79175946922805,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.85862222870103,0.962410667487708,5.30826769740121,2.94443897916644,2.49732916978656,2.02946317187359,2.12385707167036,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.31748811353631,3.29583686600433,1.38629436111989,1.6094379124341,1.09861228866811,1.38629436111989,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.82972776270132,0.940007258491471,5.40717177146012,2.83321334405622,2.43536620422786,1.94591014905531,2.14476100780048,1.38629436111989,1.09861228866811,0.693147180559945,1.38629436111989,4.34380542185368,3.3322045101752,1.09861228866811,1.38629436111989,1.38629436111989,1.6094379124341,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.91999117507732,1.10061029133078,5.28826703069454,2.99573227355399,2.32434658477556,2.06939120582633,2.32760285564424,1.38629436111989,1.09861228866811,0.693147180559945,1.09861228866811,4.31748811353631,3.29583686600433,1.38629436111989,1.6094379124341,1.09861228866811,1.6094379124341,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.99911771227908,1.09225881469593,5.30826769740121,2.99573227355399,2.51608226725645,2.06432790386979,2.22354188565359,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.33073334028633,3.2188758248682,1.38629436111989,1.6094379124341,1.38629436111989,1.6094379124341,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.95124371858143,1.08889859648047,5.32300997913841,2.94443897916644,2.56032328907275,2.18941639488841,2.3975921968755,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.24849524204936,3.2188758248682,1.38629436111989,1.6094379124341,1.38629436111989,1.6094379124341,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.8155121050473,1.25647037328369,5.31320597904179,3.09104245335832,2.65042108826557,2.19944433407453,2.50225528812261,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.11087386417331,3.09104245335832,1.38629436111989,1.6094379124341,1.38629436111989,1.79175946922805,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.75419892023458,1.09861228866811,5.27299955856375,3.09104245335832,2.49155119250667,2.15986879079245,2.34564458245449,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.15888308335967,3.2188758248682,1.38629436111989,1.79175946922805,0.693147180559945,1.09861228866811,0.693147180559945,1.09861228866811,0.693147180559945
"mcclungi",3.60549784517489,0.974559639998131,5.26269018890489,3.09104245335832,2.52972066557779,2.01089499914473,2.089391872533,1.6094379124341,1.6094379124341,0.693147180559945,1.09861228866811,4.07753744390572,2.99573227355399,1.6094379124341,1.94591014905531,1.38629436111989,1.6094379124341,1.09861228866811,1.6094379124341,1.09861228866811
"mcclungi",3.61091791264422,0.896088024556636,5.29330482472449,2.94443897916644,2.4423470353692,1.94591014905531,2.01044867023753,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,3.98898404656427,3.09104245335832,1.6094379124341,1.79175946922805,1.38629436111989,1.38629436111989,1.09861228866811,1.6094379124341,0.693147180559945
"cf_mcclungi",3.96461545554732,1.09861228866811,5.44241771052179,2.99573227355399,2.56494935746154,2.14006616349627,2.30591288275449,1.38629436111989,1.38629436111989,0.693147180559945,1.38629436111989,3.97029191355212,3.29583686600433,1.09861228866811,1.38629436111989,1.79175946922805,1.79175946922805,1.09861228866811,1.38629436111989,1.38629436111989
"cf_mcclungi",3.8155121050473,1.1314021114911,5.54907608489522,2.89037175789616,2.2512917986065,1.70474809223843,1.78953477426162,1.09861228866811,1.09861228866811,0.693147180559945,1.38629436111989,4.02535169073515,3.3322045101752,0.693147180559945,1.09861228866811,1.79175946922805,1.79175946922805,1.09861228866811,0.693147180559945,0.693147180559945
"mcclungi",3.38439026334577,0.470003629245736,5.25227342804663,2.94443897916644,2.46129678414887,1.98375629154543,1.96243945105336,1.09861228866811,1.09861228866811,0.693147180559945,1.09861228866811,3.68887945411394,2.94443897916644,1.38629436111989,1.6094379124341,1.6094379124341,1.79175946922805,1.09861228866811,1.6094379124341,1.09861228866811
